ENSEMBL_GENE_ID,baseMean__NAFL+NASHF0vsCTRL,log2FoldChange__NAFL+NASHF0vsCTRL,pvalue__NAFL+NASHF0vsCTRL,padj__NAFL+NASHF0vsCTRL,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000154655,605.9937633,-0.257147753,0.116735261,0.373157867,416,-0.053144847,0.370225076,0.686979908,419,-0.191505798,0.036653635,0.12363266,L3MBTL4
ENSG00000154678,16.51343246,0.055729897,0.914922907,NA,8,-0.44473375,0.069930667,0.325962898,10,-0.168196684,0.576534401,0.7350006,PDE1C
ENSG00000154710,454.5783379,-0.086316326,0.359005948,0.645981311,265,0.105088266,0.039169558,0.243916351,279,0.015401791,0.821325448,0.901345878,RABGEF1
ENSG00000154719,244.9930348,-0.003927554,0.974485995,0.989097665,186,0.047633297,0.343100591,0.665281495,190,0.145859231,0.069868533,0.191308833,MRPL39
ENSG00000154721,169.4268656,-0.047060774,0.68276238,0.859711529,113,-0.077030293,0.159598368,0.476309414,119,-0.090056268,0.224107044,0.405703649,JAM2
ENSG00000154723,846.099885,-0.095939763,0.553521964,0.787625807,590,-0.052920769,0.327717168,0.654219333,658,0.182502494,0.158801828,0.326441922,ATP5PF
ENSG00000154727,539.3777405,-0.132782098,0.068516492,0.278657485,372,0.039107624,0.20706076,0.532379549,379,-0.009981099,0.802958981,0.890587718,GABPA
ENSG00000154734,128.2007052,-0.181000856,0.475399532,0.733878588,105,0.138952186,0.175094749,0.495435349,120,0.560320823,0.000530634,0.007002045,ADAMTS1
ENSG00000154736,227.1090583,-0.011320529,0.965033376,0.985334584,182,0.058042734,0.557028306,0.813856804,168,-0.107292886,0.43576282,0.618006712,ADAMTS5
ENSG00000154743,238.3905452,-0.078744312,0.41786667,0.691835937,150,-0.10096641,0.008859258,0.120635796,156,-0.18423514,0.007092026,0.040644467,TSEN2
ENSG00000154760,102.5660497,-0.288449759,0.097941641,0.338741909,74,0.212263325,0.023682072,0.191284781,93,0.723656946,1.78E-06,0.00012015,SLFN13
ENSG00000154764,10.61079502,0.37497618,0.403636993,NA,5,-0.492707077,0.004515554,0.086664106,6,-0.42578197,1.21E-01,0.273568836,WNT7A
ENSG00000154767,639.1867868,-0.248907307,0.031743466,0.18453675,434,-0.051583503,0.234383842,0.563882842,441,-0.119376263,0.093183894,0.231377202,XPC
ENSG00000154781,210.8607811,-0.113103314,0.359483036,0.64642671,149,-0.016729653,0.720906189,0.896835683,152,-0.058588493,0.363973687,0.552615623,CCDC174
ENSG00000154783,222.9361207,0.084503375,0.518118123,0.763006293,163,-0.097503411,0.052734348,0.28618112,163,-0.203269123,0.014792243,0.066882574,FGD5
ENSG00000154803,671.4334426,0.004379911,0.971887968,0.987742355,472,-0.065721434,0.243830427,0.571853573,476,-0.167311562,0.036279389,0.122782923,FLCN
ENSG00000154813,223.7086071,-0.034626761,0.715245235,0.87708085,187,0.150458689,0.000838232,0.038002351,194,0.313493165,4.55E-05,0.00125358,DPH3
ENSG00000154814,536.8934066,-0.395816658,0.000613235,0.019986909,377,-0.05023016,0.274014532,0.603645701,387,-0.0639608,0.260229194,0.448767151,OXNAD1
ENSG00000154822,507.1501421,-0.102557777,0.423834054,0.695684715,383,-0.052555752,0.27119597,0.599759642,392,0.048549559,0.46422555,0.641946787,PLCL2
ENSG00000154832,202.8127206,0.032390116,0.736785189,0.887495548,165,0.007287917,0.872634457,0.95811372,162,-0.085821765,0.150740411,0.316543732,CXXC1
ENSG00000154839,92.14224358,0.155955143,0.204242487,0.491519747,50,-0.097612628,0.100615453,0.384038674,54,-0.237282098,0.003544738,0.025827245,SKA1
ENSG00000154845,463.6487893,0.108924085,0.274645837,0.568515312,365,0.054066678,0.186746399,0.511193175,363,0.025428626,0.705916043,0.825616954,PPP4R1
ENSG00000154856,53.80997852,-0.594916383,0.412334544,0.687549785,28,-0.596294881,0.011264777,0.133010125,36,0.350507588,0.284112764,0.474745418,APCDD1
ENSG00000154864,883.2487508,-0.389779715,0.025110378,0.162180788,661,0.092741984,0.175321488,0.495595926,682,0.089243366,0.340659058,0.529512526,PIEZO2
ENSG00000154874,697.3262663,-0.331025268,0.339291121,0.628744334,416,0.225237315,0.091677755,0.366668038,415,0.132291114,0.481376865,0.657137186,CCDC144B
ENSG00000154889,412.7985775,0.116718683,0.298702445,0.592744127,271,0.004435537,0.922504235,0.973104356,284,-0.087117198,0.206706087,0.38502717,MPPE1
ENSG00000154914,58.89457533,0.295105015,0.361185531,0.647859313,44,-0.213890051,0.103396011,0.389395102,46,-0.248534773,0.157755406,0.325040054,USP43
ENSG00000154917,24.61951652,0.013158078,0.965405575,0.98533543,20,-0.114426928,0.292267736,0.62232274,21,0.264524428,0.098329594,0.23980223,RAB6B
ENSG00000154920,10.67072122,0.112979678,0.713969486,NA,9,0.261306657,0.066610032,0.318704534,10,0.339837876,0.060528951,0.173941735,EME1
ENSG00000154928,56.60677602,-0.125525174,0.651057456,0.843552864,35,-0.358127195,0.016001108,0.159655503,37,-0.681401728,0.000232123,0.003941234,EPHB1
ENSG00000154930,107.9512947,0.335660662,0.189279052,0.474139172,82,-0.064966889,0.483287906,0.768785988,88,0.235783608,0.091874785,0.229282065,ACSS1
ENSG00000154945,501.0950063,0.055604091,0.658035705,0.846610513,356,-0.055147495,0.209577034,0.536165024,353,-0.109626391,0.076537495,0.203179186,ANKRD40
