ENSEMBL_GENE_ID,baseMean__NASHF12vsNAFL+F0,log2FoldChange__NASHF12vsNAFL+F0,pvalue__NASHF12vsNAFL+F0,padj__NASHF12vsNAFL+F0,baseMean__NASHF34vsNAFL+F0,log2FoldChange__NASHF34vsNAFL+F0,pvalue__NASHF34vsNAFL+F0,padj__NASHF34vsNAFL+F0,external_gene_name
ENSG00000169857,179,0.032546181,0.598924605,0.93823404,177,-0.041802179,0.563145873,0.7942629,AVEN
ENSG00000169860,15,0.153956153,0.395335116,0.886521013,15,0.526486655,0.025390618,0.130792556,P2RY1
ENSG00000169862,12,-0.073212952,0.720090562,0.957286087,16,0.659568854,0.010739826,0.073217683,CTNND2
ENSG00000169871,112,0.017334876,8.98E-01,9.86E-01,96,-0.159206773,3.33E-01,6.15E-01,TRIM56
ENSG00000169877,1,0.581001077,2.74E-01,NA,NA,NA,NA,NA,AHSP
ENSG00000169884,1,0.43148184,0.290536298,NA,2,0.705710152,0.088080002,0.287103896,WNT10B
ENSG00000169885,7,-0.177318185,0.581731016,0.933996637,8,-0.344127895,0.328483805,0.610259306,CALML6
ENSG00000169891,553,0.030888462,0.593065452,0.937172748,544,-0.014461638,0.832038616,0.934814459,REPS2
ENSG00000169894,184,0.550550508,0.091993354,0.681236236,247,0.645977329,0.093092273,0.296831936,MUC3A
ENSG00000169895,1375,-0.021833791,6.34E-01,9.43E-01,1306,-0.173483807,1.18E-03,1.47E-02,SYAP1
ENSG00000169896,85,0.204625276,0.076715885,0.651143003,84,0.300024718,0.003681473,0.033830645,ITGAM
ENSG00000169902,382,0.054391342,0.45733073,0.903440539,358,-0.069726492,4.66E-01,0.727122714,TPST1
ENSG00000169903,6353,0.060947743,0.472100317,0.907264627,6762,0.226161886,0.00745396,0.056364787,TM4SF4
ENSG00000169905,1407,0.076256528,0.140647321,0.735179371,1439,0.090917727,0.089415335,0.28965207,TOR1AIP2
ENSG00000169908,418,0.018320343,0.858216553,0.981732848,481,0.329620132,0.001243842,0.015301619,TM4SF1
ENSG00000169914,82,0.011762544,0.880902602,0.984088484,85,-0.02905325,0.765463526,0.9040502,OTUD3
ENSG00000169918,15,-0.15865235,0.175962478,0.776538278,14,-0.369499746,0.002144883,0.022976983,OTUD7A
ENSG00000169919,2109,-0.007463487,0.879233874,0.98368975,2176,0.022450946,0.698620533,0.872426112,GUSB
ENSG00000169925,258,0.092618114,0.073827319,0.645800239,257,-0.014665296,0.8239016,0.931100207,BRD3
ENSG00000169926,2336,-0.150640105,0.060825124,0.618628548,2086,-0.344905546,0.000288443,0.004972332,KLF13
ENSG00000169946,32,0.032892571,0.763103033,0.966957038,36,0.270976851,0.043139844,0.183725826,ZFPM2
ENSG00000169951,53,-0.120956666,0.106476425,0.701591805,54,-0.221349202,0.015308917,0.093226209,ZNF764
ENSG00000169955,174,-0.053393584,0.377437826,0.880304199,177,-0.171928477,0.02248332,0.120487389,ZNF747
ENSG00000169957,304,-0.092708844,2.88E-01,8.41E-01,303,-0.20805775,4.44E-02,1.87E-01,ZNF768
ENSG00000169962,4,0.300364154,0.276772383,0.834877755,3,-0.356239788,0.201882886,0.470514888,TAS1R3
ENSG00000169964,271,-0.115025552,0.13453123,0.728318933,287,-0.127754163,0.100574976,0.310610722,TMEM42
ENSG00000169967,1327,0.063856743,0.419794877,0.895067984,1294,-0.021131249,0.819678121,0.929696912,MAP3K2
ENSG00000169972,65,-0.039838869,0.711095729,0.95685068,65,-0.113904677,0.33787196,0.620384073,PUSL1
ENSG00000169976,863,-0.082253406,2.92E-01,8.43E-01,876,-0.099399561,1.84E-01,4.48E-01,SF3B5
ENSG00000169981,47,0.229251865,1.06E-02,3.72E-01,50,0.271390193,5.26E-03,4.43E-02,ZNF35
ENSG00000169989,2,-0.083611373,0.713709259,0.95685068,3,0.243909651,0.36898419,0.649151215,TIGD4
ENSG00000169991,160,0.131147349,7.61E-02,0.64842347,184,0.331299787,0.000111653,0.002398194,IFFO2
ENSG00000169992,54,-0.235021933,9.58E-02,0.691616236,61,-0.056722561,0.751038787,0.897731572,NLGN2
ENSG00000169994,8,0.565442973,0.032372934,0.52171022,10,1.013817745,0.000309958,0.005258473,MYO7B
ENSG00000170004,162,0.007809904,0.932343298,0.989929512,192,0.35823553,0.001328838,0.016079085,CHD3
ENSG00000170006,266,0.514311251,0.018360236,0.433387732,305,0.841021021,0.001906082,0.020948817,TMEM154
ENSG00000170011,423,0.2105866,0.033906594,0.527163812,385,-0.029807483,8.05E-01,9.24E-01,MYRIP
ENSG00000170017,1544,0.085290155,0.177382208,0.777598345,1612,0.176343528,0.008354282,0.061143743,ALCAM
ENSG00000170027,1511,0.044291797,5.99E-01,9.38E-01,1497,0.022773641,0.82018681,0.929947871,YWHAG
ENSG00000170035,559,-0.026112709,6.42E-01,0.944025352,572,-0.027161411,7.00E-01,8.73E-01,UBE2E3
ENSG00000170037,206,-0.02307954,0.763523691,0.967174594,211,-0.094167461,0.311991852,0.594022935,CNTROB
ENSG00000170043,299,-0.044728586,4.27E-01,8.96E-01,300,-0.068308247,2.23E-01,4.96E-01,TRAPPC1
ENSG00000170044,3,-0.561602411,1.19E-01,7.15E-01,6,1.202377248,0.003996327,0.035966946,ZPLD1
ENSG00000170049,9,-0.037143918,0.872189711,0.983185169,12,0.078753435,0.739902002,0.893550545,KCNAB3
ENSG00000170074,4,-0.285885028,0.452131055,0.902725583,6,-0.389317398,0.350130285,0.631243652,FAM153A
ENSG00000170075,2,-0.166661526,6.08E-01,9.41E-01,2,0.35967271,0.31802105,0.599949235,GPR37L1
ENSG00000170085,127,0.032887998,6.89E-01,0.952332966,123,-0.002511101,0.97726828,0.991142603,SIMC1
ENSG00000170088,1064,-0.034270657,0.590894006,0.936948619,1024,-0.135089847,0.105304586,0.31891011,TMEM192
ENSG00000170089,100,-0.064417278,0.684797247,0.952204079,96,-0.318754957,0.046727153,0.192163396,
ENSG00000170091,2,0.66236427,9.67E-02,6.93E-01,3,0.333622984,4.08E-01,6.82E-01,NSG2
ENSG00000170099,11729,-0.08026947,0.231709349,0.814226087,11713,-0.087372812,0.187377177,0.451529222,SERPINA6
ENSG00000170100,110,-0.03048078,0.673758977,0.951354234,113,-0.068413165,0.342902474,0.625327135,ZNF778
ENSG00000170113,302,0.138883216,7.58E-02,6.48E-01,309,0.17676806,0.018445862,0.105794191,NIPA1
ENSG00000170122,NA,NA,NA,NA,1,0.464331098,0.316824995,0.599066388,FOXD4
ENSG00000170142,512,-0.007934164,0.922952479,0.988720643,523,0.024375574,0.794864528,0.918726254,UBE2E1
ENSG00000170144,2325,-0.018595115,7.48E-01,9.62E-01,2359,-0.037577824,0.567317876,0.796432568,HNRNPA3
ENSG00000170145,1578,-0.032494701,0.713946609,0.95685068,1477,-0.176763283,0.068788085,0.246001923,SIK2
ENSG00000170153,30,-0.087827412,0.423508742,0.895067984,34,0.143555644,0.327437817,0.609384708,RNF150
ENSG00000170160,10,-0.491762305,4.00E-01,0.888211327,9,-0.727581562,0.193658726,0.459917977,CCDC144A
ENSG00000170161,9,-0.008785994,0.953110646,0.992856342,9,-0.00499365,0.97816083,0.991464801,
ENSG00000170175,270,0.021286471,0.71768167,0.957033843,257,-0.103193765,0.083308363,0.277042718,CHRNB1
ENSG00000170185,513,0.088430637,0.350297582,0.86780995,491,0.023675018,0.830615937,0.933948025,USP38
ENSG00000170190,40,0.183925679,0.131605336,0.727851173,43,0.413564686,8.48E-03,0.061744466,SLC16A5
ENSG00000170191,99,-0.025275404,0.757353717,0.965003508,98,-0.102013665,0.261628294,0.539849468,NANP
ENSG00000170209,2,-0.358791005,0.319224616,0.85404183,3,-0.767217219,0.095243112,0.301098847,ANKK1
ENSG00000170214,96,0.105610863,0.202305196,0.800129865,92,-0.053135892,0.577042431,0.801797485,ADRA1B
ENSG00000170222,104,-0.171207449,0.00329086,0.235083909,102,-0.25173139,0.000435598,0.006959484,ADPRM
ENSG00000170234,161,0.021711242,0.707111601,0.956045918,168,0.047233494,4.51E-01,7.16E-01,PWWP2A
ENSG00000170236,3,0.015602642,0.945444839,0.991616713,3,0.206724682,0.457663488,0.720899955,USP50
ENSG00000170242,1544,0.016717088,0.681435472,0.9518486,1519,-0.049473307,0.261861566,0.540044151,USP47
ENSG00000170248,1567,0.100080849,0.126702462,0.724848563,1570,0.125603812,0.144723974,0.38725203,PDCD6IP
ENSG00000170260,175,-0.029893706,0.71237453,0.95685068,184,-0.057747543,0.53542979,0.775889014,ZNF212
ENSG00000170262,18,0.679958042,0.013422023,0.400141497,15,0.285014474,0.274695604,0.554183616,MRAP
ENSG00000170264,30,-0.03298781,0.777907389,0.970080484,31,0.032604186,0.811910904,0.926604959,FAM161A
ENSG00000170265,202,-0.076672929,0.240364138,0.817329165,200,-0.17095263,0.035363681,0.161743507,ZNF282
ENSG00000170266,1291,0.018633268,0.820460767,0.976138681,1273,0.035603277,0.715452412,0.881561654,GLB1
ENSG00000170270,141,0.035849372,5.94E-01,0.937270702,146,0.006956399,9.16E-01,0.968835498,GON7
ENSG00000170271,3857,-0.092148142,0.218270426,0.804628884,3748,-0.160413566,0.041508592,0.179440398,FAXDC2
ENSG00000170275,1137,-0.057153517,0.185583004,0.783464994,1141,-0.070820874,0.275141572,0.554524616,CRTAP
ENSG00000170289,NA,NA,NA,NA,NA,NA,NA,NA,CNGB3
ENSG00000170290,3,-0.092648024,0.949685463,0.992665435,9,5.54955099,7.93E-05,0.001854651,SLN
ENSG00000170291,442,-0.068810688,0.23640831,0.816024812,443,-0.159577629,0.022764281,0.121445454,ELP5
ENSG00000170293,350,-0.05421772,2.40E-01,8.17E-01,340,-0.160379892,1.46E-02,9.03E-02,CMTM8
ENSG00000170296,78,-0.200923053,2.14E-02,4.57E-01,79,-0.175955075,6.44E-02,2.36E-01,GABARAP
ENSG00000170310,301,-0.075604464,2.62E-01,8.30E-01,308,-0.082756124,2.43E-01,5.20E-01,STX8
ENSG00000170312,25,0.580159891,2.09E-03,2.02E-01,27,0.874457325,1.69E-05,5.26E-04,CDK1
ENSG00000170315,17227,-0.12097179,5.64E-02,6.09E-01,16459,-0.224746913,5.35E-03,4.48E-02,UBB
ENSG00000170322,317,-0.111864769,1.36E-01,7.29E-01,341,-0.064219037,3.86E-01,6.64E-01,NFRKB
ENSG00000170323,99,0.777625433,2.27E-02,4.67E-01,114,1.620816617,1.59E-07,1.17E-05,FABP4
ENSG00000170325,114,-0.105522949,1.05E-01,6.98E-01,117,-0.080312062,2.78E-01,5.57E-01,PRDM10
ENSG00000170340,316,0.03549637,7.26E-01,9.58E-01,302,-0.076436547,5.24E-01,7.68E-01,B3GNT2
ENSG00000170345,63,0.556213901,3.83E-02,5.42E-01,51,0.69550615,2.70E-03,2.74E-02,FOS
ENSG00000170348,4872,-0.026479956,7.22E-01,9.57E-01,4840,-0.037065625,7.09E-01,8.78E-01,TMED10
ENSG00000170356,1,-0.063209064,8.96E-01,NA,1,0.530770153,3.03E-01,5.85E-01,OR2A20P
ENSG00000170364,148,-0.030420215,0.605876685,0.939978653,157,0.020175734,0.758409786,0.900754902,SETMAR
ENSG00000170365,316,0.081828979,3.11E-01,8.52E-01,296,0.007283803,9.47E-01,9.79E-01,SMAD1
