SYMBOL,baseMean_6N-WD-C0.2-FG-9W,log2FoldChange_6N-WD-C0.2-FG-9W,pvalue_6N-WD-C0.2-FG-9W,padj_6N-WD-C0.2-FG-9W,baseMean_6N-WD-C0.2-FG-29W,log2FoldChange_6N-WD-C0.2-FG-29W,pvalue_6N-WD-C0.2-FG-29W,padj_6N-WD-C0.2-FG-29W
Pdp1,6.255999496,0.041319121,0.255680896,0.472372958,6.255999496,0.061672135,0.092133475,0.199069809
Pdp2,6.676602244,0.234170353,0.000107041,0.001633576,6.676602244,-0.065406568,0.260087221,0.405236253
Pdpk1,6.792572478,-0.030881116,0.645283896,0.804701142,6.792572478,0.070391674,0.296576056,0.442985604
Pdpn,5.044710401,0.031730914,0.515558418,0.712232144,5.044710401,0.012506151,0.798035136,0.862947694
Pdpr,6.753438671,0.172893301,0.022345732,0.092798032,6.753438671,-0.077129245,0.303225869,0.449787816
Pdrg1,5.988906344,0.108125587,0.00246434,0.018449024,5.988906344,0.039934681,0.253170091,0.398171651
Pds5a,7.689948302,-0.177595812,0.047926294,0.158360626,7.689948302,0.028068582,0.752398204,0.829904562
Pds5b,6.306312557,-0.073431926,0.316141003,0.53642214,6.306312557,0.092952005,0.206458043,0.345795839
Pdss1,4.611906036,0.006501277,0.855341465,0.927189399,4.611906036,0.116194086,0.001618958,0.008176937
Pdss2,5.191186717,0.086404487,0.015225326,0.070499881,5.191186717,-0.108712334,0.00256342,0.01213642
Pdxdc1,7.435343079,0.057423516,0.271500043,0.489634408,7.435343079,0.031474284,0.546694523,0.668320897
Pdxk,7.52456805,0.014640333,0.78036591,0.886063758,7.52456805,0.060378733,0.253138602,0.398159644
Pdxp,5.429820369,0.098888898,0.140110296,0.322389105,5.429820369,-0.083274419,0.214364688,0.354956959
Pdyn,5.072152964,0.024237322,0.620165949,0.787037433,5.072152964,-0.092397283,0.062040435,0.149873046
Pdzd11,6.049144454,0.03523173,0.283720991,0.502840362,6.049144454,-0.049247491,0.136289872,0.260168264
Pdzd3,5.411257898,-0.028890965,0.551767076,0.738809427,5.411257898,-0.065575135,0.179797061,0.31401869
Pdzd4,4.708059593,0.056518687,0.150959496,0.33908115,4.708059593,-0.04838192,0.219323095,0.360721878
Pdzd7,5.280548708,0.029825094,0.460977242,0.667507177,5.280548708,-0.043651254,0.28271249,0.428383057
Pdzd8,6.955617798,0.069193606,0.438108776,0.649328125,6.955617798,0.106319687,0.235829839,0.379083576
Pdzd9,3.387307497,0.021391487,0.597719959,0.771731621,3.387307497,-0.125365771,0.002674457,0.012592929
Pdzk1,6.893292204,0.054500436,0.211932569,0.420532131,6.893292204,-0.091311944,0.038570698,0.106531925
Pdzk1ip1,5.187071117,-0.165381524,0.000688905,0.00693421,5.187071117,-0.096893322,0.04242947,0.114367311
Pdzrn3,5.377370641,0.184549292,0.000367965,0.004287655,5.377370641,0.072171367,0.151051432,0.278872637
Pdzrn4,4.543061614,0.05793968,0.136049022,0.316076764,4.543061614,-0.051192511,0.188279683,0.324822986
Pea15a,6.861892104,0.185444889,0.002847208,0.020614159,6.861892104,0.566663716,1.22E-14,4.99E-13
Pear1,5.824581631,0.107532545,0.000963768,0.008971465,5.824581631,0.079184575,0.013851167,0.0487696
Pebp1,7.603449957,0.159931441,0.010778832,0.054860708,7.603449957,-0.11436516,0.066320225,0.157041655
Pebp4,4.459182604,0.004924645,0.924596478,0.961825768,4.459182604,-0.080694985,0.124577539,0.245169711
Pecam1,6.311137232,0.166667734,0.003157691,0.022339538,6.311137232,0.383288458,6.96E-10,1.25E-08
Pecr,8.592408294,-0.318095409,0.000150931,0.002130999,8.592408294,-0.668206919,1.51E-12,4.27E-11
Pef1,6.542698312,0.143214507,0.008245006,0.044993201,6.542698312,0.10824777,0.044447404,0.118134796
Peg10,5.450724314,0.121965141,0.066285074,0.197390415,5.450724314,0.275975689,6.69E-05,0.000483115
Peg12,5.501390091,0.075443481,0.175861665,0.372934103,5.501390091,-0.019395322,0.727150872,0.810723905
Peg3,4.558255846,0.180086299,9.87E-05,0.001532061,4.558255846,0.114435498,0.011214776,0.041125227
Peli1,6.468278208,-0.072181119,0.272237568,0.490623592,6.468278208,0.049659118,0.450319929,0.586944826
Peli2,6.661922361,0.153615626,0.002114759,0.016370169,6.661922361,-0.21764846,2.33E-05,0.00018566
Peli3,5.854518609,0.010559726,0.793754619,0.893735306,5.854518609,-0.091051241,0.02672985,0.08083522
Pelp1,6.052376995,0.06037236,0.152063513,0.340672487,6.052376995,-0.03902139,0.354055428,0.498647989
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.84865059,-0.270341258,0.001168569,0.006187699
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40142258,-0.243036506,0.001910827,0.009453438
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,8.515173084,-0.241482429,0.000273196,0.001712034
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.39707475,-0.248566037,0.001558488,0.007917949
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40554612,-0.27263221,0.000641933,0.003671973
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.84865059,-0.270341258,0.001168569,0.006187699
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40142258,-0.243036506,0.001910827,0.009453438
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,8.515173084,-0.241482429,0.000273196,0.001712034
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.39707475,-0.248566037,0.001558488,0.007917949
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40554612,-0.27263221,0.000641933,0.003671973
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.84865059,-0.270341258,0.001168569,0.006187699
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40142258,-0.243036506,0.001910827,0.009453438
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,8.515173084,-0.241482429,0.000273196,0.001712034
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.39707475,-0.248566037,0.001558488,0.007917949
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40554612,-0.27263221,0.000641933,0.003671973
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.84865059,-0.270341258,0.001168569,0.006187699
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,10.40142258,-0.243036506,0.001910827,0.009453438
Pemt,10.40142258,-0.299075353,0.000160327,0.002227152,8.515173084,-0.241482429,0.000273196,0.001712034
